Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Anhui Langxi power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2016,,,31.0045,119.109,,,,,,GEM_biomass_78
Anhui Lingbi (Guozhen) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2021,,,33.6094,117.5601,,,,,,GEM_biomass_79
Anhui Lingbi power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2017,,,33.7702,117.4556,,,,,,GEM_biomass_80
Anhui Linquan power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,33.0183,115.3415,,,,,,GEM_biomass_81
Anhui Lixin power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2022,,,33.2428,116.0563,,,,,,GEM_biomass_82
Anhui Lu'An Shucheng power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2015,,,31.3832,116.9812,,,,,,GEM_biomass_83
Anhui Lujiang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2013,,,31.2499,117.2283,,,,,,GEM_biomass_84
Anhui Maanshan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2022,,,31.7369,118.4895,,,,,,GEM_biomass_85
Anhui Mengcheng power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2015,,,33.2717,116.508,,,,,,GEM_biomass_86
Anhui Mingguang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,32.8582,118.0843,,,,,,GEM_biomass_87
Anhui Nanling power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2012,,,30.9186,118.2692,,,,,,GEM_biomass_88
Anhui Nanqiao power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2017,,,32.4524,118.292,,,,,,GEM_biomass_89
Anhui Ningguo (Kaidi) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,30.697,118.9249,,,,,,GEM_biomass_90
Anhui Shou County power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2013,,,32.4928,116.7235,,,,,,GEM_biomass_91
Anhui Si County power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2020,,,33.5684,117.8978,,,,,,GEM_biomass_92
Anhui Suixi power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,33.5301,116.8807,,,,,,GEM_biomass_93
Anhui Suixi Pufa power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,33.8416,116.7081,,,,,,GEM_biomass_94
Anhui Suzhou Yongqiao District (Everbright) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,33.5705,117.0746,,,,,,GEM_biomass_95
Anhui Tianchang (Shanghai Electric) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,32.7275,119.0283,,,,,,GEM_biomass_96
Anhui Tianchang power station,Bioenergy,Steam Turbine,PP,CN,38.0,0.47,2021,,,32.7331,118.7906,,,,,,GEM_biomass_97
Anhui Xiao County power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2017,,,34.1056,116.8863,,,,,,GEM_biomass_98
Anhui Yeji power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,31.884,115.9369,,,,,,GEM_biomass_99
Anhui Yingshang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,32.7297,116.27,,,,,,GEM_biomass_100
Anhui Yu'an power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,31.8082,116.4235,,,,,,GEM_biomass_101
Asia Symbol captive power station,Bioenergy,Steam Turbine,PP,CN,97.0,0.47,2023,,,35.374797,119.50857,,,,,,GEM_biomass_102
Beihai Mill power station,Bioenergy,Steam Turbine,PP,CN,100.0,0.47,2016,,,21.53862,109.534681,,,,,,GEM_biomass_103
Beijing Anding power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2023,,,39.6286,116.5181,,,,,,GEM_biomass_104
Beijing Anding power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2023,,,39.6286,116.5181,,,,,,GEM_biomass_105
Beijing Anding power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2023,,,39.6286,116.5181,,,,,,GEM_biomass_106
Beijing Baishan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,40.1616,116.344,,,,,,GEM_biomass_107
Beijing Baishan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,40.1616,116.344,,,,,,GEM_biomass_108
Beijing Mengtougou power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,39.8503,116.0404,,,,,,GEM_biomass_109
Beijing Mengtougou power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,39.8503,116.0404,,,,,,GEM_biomass_110
Chenming Mill Shouguang Meilun Paper Mill captive power station,Bioenergy,Steam Turbine,PP,CN,70.0,0.47,2019,,,36.859677,118.699591,,,,,,GEM_biomass_111
Chenming Mill Shouguang Meilun Paper Mill captive power station,Bioenergy,Steam Turbine,PP,CN,165.0,0.47,2019,,,36.859677,118.699591,,,,,,GEM_biomass_112
Chongqing Jiangjin District power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2018,,,29.1738,106.3968,,,,,,GEM_biomass_113
Chongqing Jiangjin District power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2018,,,29.1738,106.3968,,,,,,GEM_biomass_114
Chongqing Jiangjin District power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2018,,,29.1738,106.3968,,,,,,GEM_biomass_115
Chongqing Kaidi Fengdu power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2013,,,29.9103,107.783,,,,,,GEM_biomass_116
Chongqing Luoqi power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2021,,,29.6809,106.8825,,,,,,GEM_biomass_117
Chongqing Luoqi power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2021,,,29.6809,106.8825,,,,,,GEM_biomass_118
Fujian Jinjiang power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2020,,,24.7781,118.5288,,,,,,GEM_biomass_119
Fujian Longhai power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2018,,,24.489,117.8629,,,,,,GEM_biomass_120
Fujian Nan'An power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,24.9309,118.3874,,,,,,GEM_biomass_121
Fujian Pucheng power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,27.9074,118.5513,,,,,,GEM_biomass_122
Fujian Xiamen power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2023,,,24.724117,118.276747,,,,,,GEM_biomass_123
Gansu Tianshui power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,34.5448,106.0028,,,,,,GEM_biomass_124
Guangdong Chaozhou power station,Bioenergy,Steam Turbine,PP,CN,32.0,0.47,2020,,,23.6592,116.7725,,,,,,GEM_biomass_125
Guangdong Conghua power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2022,,,23.6464,113.503,,,,,,GEM_biomass_126
Guangdong Conghua power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2022,,,23.6464,113.503,,,,,,GEM_biomass_127
Guangdong Dongguan Haixinsha power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,23.0099,113.5909,,,,,,GEM_biomass_128
Guangdong Dongguan Haixinsha power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,23.0099,113.5909,,,,,,GEM_biomass_129
Guangdong Dongguan Houjie power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,22.898064,113.676344,,,,,,GEM_biomass_130
Guangdong Foshan power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,22.8005,112.681,,,,,,GEM_biomass_131
Guangdong Foshan power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,22.8005,112.681,,,,,,GEM_biomass_132
Guangdong Guangzhou Huangpu District power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2023,,,23.2868,113.5063,,,,,,GEM_biomass_133
Guangdong Guangzhou Huangpu District power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2023,,,23.2868,113.5063,,,,,,GEM_biomass_134
Guangdong Guangzhou Huangpu District power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2023,,,23.2868,113.5063,,,,,,GEM_biomass_135
Guangdong Huadu power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2021,,,23.3933,113.0225,,,,,,GEM_biomass_136
Guangdong Huadu power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2021,,,23.3933,113.0225,,,,,,GEM_biomass_137
Guangdong Huizhou Huicheng District power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2023,,,23.0793,114.2246,,,,,,GEM_biomass_138
Guangdong Huizhou power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,22.854,114.512,,,,,,GEM_biomass_139
Guangdong Huizhou power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2021,,,22.854,114.512,,,,,,GEM_biomass_140
Guangdong Huizhou power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,22.8534,114.5122,,,,,,GEM_biomass_141
Guangdong Jiangmen Pengjiang District power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2023,,,22.6578,113.0076,,,,,,GEM_biomass_142
Guangdong Likeng power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2013,,,23.2938,113.3554,,,,,,GEM_biomass_143
Guangdong Nansha power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2021,,,22.759,113.4598,,,,,,GEM_biomass_144
Guangdong Nansha power station,Bioenergy,Steam Turbine,PP,CN,50.0,0.47,2021,,,22.759,113.4598,,,,,,GEM_biomass_145
Guangdong Shantou Chaoyang power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2019,,,23.3055,116.4969,,,,,,GEM_biomass_146
Guangdong Shantou power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2023,,,23.4466,116.5963,,,,,,GEM_biomass_147
Guangdong Shaoguan (Shaoneng) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,24.7252,113.5723,,,,,,GEM_biomass_148
Guangdong Shaoguan (Shaoneng) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,24.7252,113.5723,,,,,,GEM_biomass_149
Guangdong Shenzhen Bao'an power station,Bioenergy,Steam Turbine,PP,CN,32.0,0.47,2012,,,22.831,113.8454,,,,,,GEM_biomass_150
Guangdong Shenzhen Bao'an power station,Bioenergy,Steam Turbine,PP,CN,32.0,0.47,2012,,,22.831,113.8454,,,,,,GEM_biomass_151
Guangdong Shenzhen Bao'an power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2019,,,22.831,113.8454,,,,,,GEM_biomass_152
Guangdong Shenzhen Bao'an power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2019,,,22.831,113.8454,,,,,,GEM_biomass_153
Guangdong Shenzhen Bao'an power station,Bioenergy,Steam Turbine,PP,CN,45.0,0.47,2019,,,22.831,113.8454,,,,,,GEM_biomass_154
Guangdong Shenzhen East power station,Bioenergy,Steam Turbine,PP,CN,60.0,0.47,2019,,,22.7498,114.3187,,,,,,GEM_biomass_155
Guangdong Shenzhen East power station,Bioenergy,Steam Turbine,PP,CN,60.0,0.47,2019,,,22.7498,114.3187,,,,,,GEM_biomass_156
Guangdong Shenzhen East power station,Bioenergy,Steam Turbine,PP,CN,60.0,0.47,2019,,,22.7498,114.3187,,,,,,GEM_biomass_157
Guangdong Shunde power station,Bioenergy,Steam Turbine,PP,CN,35.0,0.47,2018,,,22.7867,113.0767,,,,,,GEM_biomass_158
